	config	name	tags	train_loss	eval_precision	eval_Validation loss	_step	_runtime	eval_mcc	_timestamp	eval_recall	learning_rate	eval_f1	eval_acc	eval_auc	Confusion Matrix.path	Confusion Matrix.size	Confusion Matrix._type	Confusion Matrix.width	Confusion Matrix.format	Confusion Matrix.height	Confusion Matrix.sha256	_wandb.runtime
8	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_30th_2024_09_30_41_logstep=121_bs=1040_lr=1e-05_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	H2BK5ac	0.4566961805189937	0.7836756118995339	0.4778774559497833	1210.0	5748.7048988342285	0.5671181061964945	1717081591.5245109	0.7834425421895308	1.8066847335140018e-07	0.7833633884126417	0.7834	0.8560952984538066	media/images/Confusion Matrix_1089_829b457bd294de6a7e6b.png	59924.0	image-file	1200.0	png	1200.0	829b457bd294de6a7e6b96b7c4d74c951be8a032750c8a02e7e93977b5e5b4ce	5898.0
15	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 80, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 3e-06, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_27th_2024_17_39_09_logstep=1593_bs=80_lr=3e-06_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	H3K79me1	0.4272127121930143	0.7716870064062287	0.49107861249370777	15930.0	11137.07077240944	0.542020184112808	1716857089.2512095	0.7703348642540631	3.1356699881541352e-09	0.7703294796696266	0.7707333333333334		media/images/Confusion Matrix_14337_06808379c3007304b8fd.png	54050.0	image-file	1200.0	png	1200.0	06808379c3007304b8fd75b0654bbd6c5b6b6fc7ad8a6c8227d93373007956ac	11227.0
5	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_26th_2024_21_20_26_logstep=121_bs=1040_lr=1e-05_wp=0.1_dp=0.1_wd=0.005_len=300_epoch=15.0	H2AFZ	0.5346873107035298	0.7152042372909846	0.5583860238393148	1210.0	2253.5563867092133	0.4302948159796951	1716775080.7198277	0.7150905936957082	1.8066847335140018e-07	0.7150350494887796	0.7150666666666666	0.7889685425408368	media/images/Confusion Matrix_1089_71ee44a376744cfef29b.png	56301.0	image-file	1200.0	png	1200.0	71ee44a376744cfef29b53679c34e7d96713c4733b1a28c892c47687c5e0ba32	2303.0
17	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 60, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-06, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_28th_2024_07_37_18_logstep=2124_bs=60_lr=1e-06_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	H3K9ac	0.5525929556138771	0.7094999276913545	0.5566322300434112	21240.0	13152.902779102324	0.41810538871917974	1716909393.679872	0.7086064157663554	7.841087297438578e-10	0.7083373912478899	0.7086666666666667		media/images/Confusion Matrix_19116_520d23ee27e0ba7e7588.png	57916.0	image-file	1200.0	png	1200.0	520d23ee27e0ba7e7588192644a1393f47a8eb8e150af55effcc67abf3815324	13248.0
12	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_June_03th_2024_08_27_04_logstep=121_bs=1040_lr=1e-05_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	H3K27me3	0.5771143101463633	0.6873726283457455	0.5810651501019796	1210.0	2990.141407251358	0.3742981576297923	1717420615.3046002	0.6869257959953226	1.8066847335140018e-07	0.6868281048438125	0.6870666666666667	0.7560838767973426	media/images/Confusion Matrix_1089_7dc9dda33534487e0eba.png	57585.0	image-file	1200.0	png	1200.0	7dc9dda33534487e0eba8e17a1b853738b711a2414a38472fc2a3061b5c35bce	3115.0
14	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 80, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 3e-06, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_31th_2024_21_26_53_logstep=1593_bs=80_lr=3e-06_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	H3K4me2	0.5738952359686239	0.6747283406378854	0.6014611169378808	15930.0	11128.471020460129	0.34946431367926717	1717216344.1985795	0.6747359731247307	3.1356699881541352e-09	0.6747275955281185	0.6747333333333333		media/images/Confusion Matrix_14337_e1f16ab5f81c92d0895f.png	54943.0	image-file	1200.0	png	1200.0	e1f16ab5f81c92d0895fe57c1b7cc487abd65da5273d58433bcb385f7021716b	11223.0
11	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_June_02th_2024_06_47_26_logstep=121_bs=1040_lr=1e-05_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	H3K27ac	0.5882602787214862	0.6750381638204148	0.5981019616127015	1210.0	2295.949471473694	0.34962437507592964	1717327543.2056444	0.6745865029934942	1.8066847335140018e-07	0.67438549239827	0.6746	0.7357494092798319	media/images/Confusion Matrix_1089_f23f2532c8f291485e7c.png	57182.0	image-file	1200.0	png	1200.0	f23f2532c8f291485e7c60b4a3a9c2580563c547a0a63c0dbb9375f87113675c	2347.0
13	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_June_05th_2024_12_54_52_logstep=121_bs=1040_lr=1e-05_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	H3K36me3	0.6069181098425684	0.6477862298430401	0.6168095707893372	1210.0	2271.8363513946533	0.29365060228002865	1717608765.3520875	0.6458706205426021	1.8066847335140018e-07	0.6449245674682328	0.6462	0.709211760603885	media/images/Confusion Matrix_1089_0bda59e1b0a4b4a03fbc.png	57289.0	image-file	1200.0	png	1200.0	0bda59e1b0a4b4a03fbc4f846b74b9618160b696d07627e247e41ad526c6f07d	2321.0
9	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_31th_2024_09_33_20_logstep=121_bs=1040_lr=1e-05_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	H3F3A	0.6122575362851798	0.6384896795988181	0.6267083088556925	1210.0	2256.423315048218	0.27689420896901484	1717164657.540085	0.638404542458828	1.8066847335140018e-07	0.6383823840471192	0.6384666666666666	0.6963946527336322	media/images/Confusion Matrix_1089_7d836b9e8b220ddf93a1.png	55122.0	image-file	1200.0	png	1200.0	7d836b9e8b220ddf93a1eeac62d2b7511bee3fddd80ce814d423ec9384c9b8eb	2306.0
19	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 60, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_June_04th_2024_09_10_00_logstep=2124_bs=60_lr=1e-05_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	H3K9me3	0.5200598918168109	0.637735170408145	0.7082994978427887	21240.0	13162.063925266266	0.2754689401989857	1717519764.2060091	0.6377337697944014	7.841087297438581e-09	0.6377325540558052	0.6377333333333334		media/images/Confusion Matrix_19116_2f7efcb2fab993dcad72.png	59118.0	image-file	1200.0	png	1200.0	2f7efcb2fab993dcad72d8db05ca198ac76045d60cf245c56c6b5c934ec825bb	13260.0
16	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 80, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 3e-06, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_June_05th_2024_01_22_08_logstep=1593_bs=80_lr=3e-06_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	H3K79me2	0.6135185062698202	0.6284712093643264	0.6394825209962561	15930.0	11114.075612783432	0.2552283913222673	1717576044.9114258	0.6267628989780506	3.1356699881541352e-09	0.6249527280686344	0.6259333333333333		media/images/Confusion Matrix_14337_a6136f3284861fef7f98.png	55195.0	image-file	1200.0	png	1200.0	a6136f3284861fef7f98144a4e30681236d235a1d95ea5d7137be5907cd3f62c	11207.0
