	tags	eval_acc
181	NKRF	0.8497867154174285
231	SAP130	0.8497816593886462
366	ZNF449	0.8495960223741454
39	DEK	0.8473302924604239
305	ZBTB33	0.8466602349469383
72	GATAD1	0.8460790982411817
250	SOX5	0.845153448799757
125	IRF2	0.8445462532948412
145	LARP7	0.8445301861098502
191	PBX2	0.8428073935172783
255	SREBF1	0.8426214890771289
369	ZNF512B	0.8422720072414573
348	ZNF280C	0.8419182948490231
130	JUN	0.8415165337275393
296	YY2	0.840828820343772
151	MBD1	0.8403702654198545
206	PRDM1	0.8398924122310306
33	CREB3L1	0.8396353814989872
166	MXD4	0.838876987258992
127	IRF4	0.8385645302897279
283	TOE1	0.8384441372376524
370	ZNF514	0.8382789317507419
266	TAF7	0.8379969211265055
55	ETV1	0.8377510040160643
371	ZNF518A	0.837696335078534
360	ZNF394	0.8375909583526862
121	IKZF52	0.8374343832020997
179	NFKBIZ	0.83685902860044
324	ZHX2	0.8368421052631579
278	TFE3	0.8362347545084958
295	YBX3	0.8361836183618362
313	ZEB1	0.8355395809590602
41	DMAP1	0.835279436669935
176	NEUROD1	0.834863438145513
143	KMT2B2	0.8345232611699678
415	ZSCAN30	0.8344421212697206
260	STAT2	0.83399209486166
184	NR2F2	0.8338780412860695
140	KLF7	0.8338576484467165
17	CBFB	0.8336409783110291
42	DRAP1	0.8330156309569196
251	SOX6	0.8327725223795315
243	SMAD5	0.8327592524734335
410	ZSCAN18	0.8324844368986983
272	TEAD12	0.832286432160804
398	ZNF692	0.8321010695571028
73	GATAD2A	0.8316998139934182
279	TGIF22	0.8308964525407478
216	RBFOX2	0.8308690863931392
233	SCRT1	0.8308277654046028
141	KLF8	0.8306952203600249
225	RLF	0.830361332707649
381	ZNF561	0.8299235379210581
144	L3MBTL2	0.8298412305406827
139	KLF6	0.8295055390435018
161	MLX	0.8290744780305391
31	CLOCK	0.8287425149700599
334	ZNF148	0.8283411193551342
158	MIER22	0.8283343040186372
236	SFPQ	0.8282208588957055
244	SMARCA4	0.8280163927839608
114	HNRNPK	0.8277804166383932
390	ZNF614	0.8277306733167082
120	IKZF3	0.8274701498517509
309	ZBTB7B	0.8272186415468518
117	HOMEZ2	0.8270580727504786
375	ZNF544	0.826946847960445
79	GMEB1	0.8269406392694064
395	ZNF664	0.826646275638719
301	ZBTB2	0.8262929867316545
321	ZFP69B	0.826288182659673
205	PPARG2	0.8258954223328864
270	TCF12	0.824640786022975
268	TBP	0.8237441860465117
284	TRIM24	0.8235989273214854
259	STAT1	0.8234489830798154
199	PML	0.8232454074422987
342	ZNF23	0.8226837060702875
389	ZNF610	0.8215187742044116
4	ARHGAP35	0.821501014198783
86	H3K14ac	0.8210772209162206
87	H3K23ac	0.820910951356457
99	HDAC1	0.8208628114426331
53	ESR1	0.8207332630761551
70	GATA2	0.820508932858262
306	ZBTB44	0.8201915991156964
100	HDAC2	0.8201861360718871
64	FOXK2	0.8199180938198064
293	WT1	0.8196010407632264
138	KLF162	0.8189761767372846
178	NFIC	0.8187850064627316
46	E4F1	0.8187507902389682
388	ZNF600	0.8186305968307251
367	ZNF48	0.8181818181818182
36	DACH1	0.8180669614655717
132	KAT7	0.8175191499876452
271	TCF7	0.817411291481109
358	ZNF384	0.817184776292853
269	TBX3	0.8171034794396747
359	ZNF391	0.8167651800107469
93	H3K9me1	0.8164242900658347
327	ZNF10	0.8158102766798419
97	H4K8ac	0.8155380230951441
133	KAT8	0.8152862084720318
183	NR2F1	0.8148262643749227
196	PHF21A	0.8145533532446375
34	CTBP1	0.8145280843353648
226	RNF2	0.813355309159924
420	ZXDB	0.8131426625808649
107	HMBOX1	0.8129722387299431
108	HMG20A	0.8125
111	HNF1A	0.8124891285440946
349	ZNF282	0.8124697921701305
419	ZSCAN9	0.8124691358024692
338	ZNF18	0.8122132015531239
109	HMG20B	0.8121345029239766
247	SMARCE1	0.8117704280155642
368	ZNF512	0.811746657900504
193	PCBP2	0.8113985751781028
7	ASH1L	0.8112260896832862
136	KLF10	0.8112068001342132
345	ZNF248	0.8111217641418984
